league_538,league_538_alternative,league_clubelo,team_538,id_opta,team_clubelo,is_exact_538_to_opta,is_exact_538_to_clubelo,can_match_538_to_opta,can_match_538_to_clubelo
Argentina Primera Division,,,Argentinos Juniors,7tev5pifn8hdy4vlts0coha1b,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Arsenal Sarandi,ancihw39hzlr6vjfgl8jsihe1,,FALSE,,TRUE,FALSE
Argentina Primera Division,,,Atlético Tucumán,6u0o1i04y2mnw2avru97sn970,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Banfield,3lbqswe4h5wyrayjt580zmujx,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Barracas Central,8bh6iyg42ta2y8mgkkgd2hy6o,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Belgrano Cordoba,2biw4all5ru5xiorgyqbevwr1,,FALSE,,TRUE,FALSE
Argentina Primera Division,,,Boca Juniors,ciqt22ivoc48zj62detdyh1mm,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,CA Independiente,ag3u5yhvyaxwtebl9xp5e2vaa,,FALSE,,TRUE,FALSE
Argentina Primera Division,,,Central Córdoba Santiago del Estero,1x5i9dl7uyrh5o2th8ore61e6,,FALSE,,TRUE,FALSE
Argentina Primera Division,,,Colon Santa Fe,64a7qygl90q6k3319f29fwduo,,FALSE,,TRUE,FALSE
Argentina Primera Division,,,Defensa y Justicia,1n4ioqcbh1hemy9ezzu6v86n7,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Estudiantes,91j32z6ga16tjj140ss2i24mt,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Gimnasia La Plata,1rio0xlpk4s2ttmchsqjs6eik,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Godoy Cruz,1we2nqwg18sjn6cevduuapbkf,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Huracán,3rw8ouixzsh3x8dgy8ifev925,,TRUE,,TRUE,FALSE
Argentina Primera Division,,,Instituto,2zjoq67ogz8lmaoesxkubxhp6,,TRUE,,TRUE,FALSE
